ID,text,feeling
1,J@lisastarlyRnEI haven't heard anytVing. I'll tweet you as aoon as I hear. I'mvQreallyxworrxied actually,0
2,Just grabbed some bagelLt from Pdnera for everyone at wk. It's Brittany's last day,0
3,@poepjaqndzegiant oopY just saw you said helloM! Hi there,1
4,@kirsty_gilfo yuj! That's the one  MmL....yuom cha! UHave lots of dumplihgs for me,1
5,pMum's off to bed... NipUtuck time noow,1
6,Have been LOL big time at thissApprentice vidmo hGttp:/I/piogl.fm/vXPnd (wvia @tdruCTy) f- Thanksx me and @rebel_aceman Kaughed at it too!,1
7,"@sdawara oodooo.... Xenenvbefore @maheshmurthW smarted seedfund, the fund given Kin seed staTge uiseLd Mto b called aT Meedfund..",1
8,isV drinking loNely tea she bought in LyoOdon on December: Yumgchaa's dquot;Caramel Sweetheaqrt&quZot;. Itmsm almost all goXe...  http://wwJ.yuLmychaa.com/,0
9,"@AlpqacVt1 hehVheMbleJss  you enjoy star trekW, you should be sleeping ift's hatemLOLmbad kitty hehehe LoveYa",1
10,@ddlovato zowr familFy own a jfhtskii (:S buht ihts winter over hece so ihaJpve tox wait till summer  jketskisw are so fun.,0
11,"@MissmydGeyJ Im good, lol...D I Keel awake",1
12,@D_AMAZCN Won't I get Xarrested if I amKnaked on the neach?lol,1
13,@Chicago_Thed I Qjupst miss driving my cJr.V  I hacven't driven it sincef I got back yet.,0
14,@logansutchJ You canE go drivingK?! yOW?ymWHY!,0
15,Li HTaterxs...who talkznFg bout my YlemTschool pic ChellelYlbmoFre@UrbanInformreDr i lovFe yoer newz pic yoZu were handMsomei Wack then and still is,1
16,"On the way to camO at lUrast. ThxiYnk I might have obfflended someone at the meeting earlier,f and wt bugs me.",0
17,i need sleep. Iftqotoo early. I went toK bed at like 6 something because i couldYt sleep,0
18,@BillohnBill &quoFHprojeVtile&quog; very clqeverZwarpig,1
19,Lunchtime waRlks in a bid to lose weight are most annoXing when all the pubs one passes Kare throwQxing euWi deliciouV food smells,0
20,I'm just Ztrying to write CIL I can't thiniaoDS anything AIRGHHH,0
21,"ittunes says that kn updajX is available (3.Mu, but dthenN just doesD nothing Xhhen IJpresdsM update",0
22,Yes my laptop works  So noW i can abortsmy diplomGCesis,1
23,"@MrsPocmDrboy  ToqbchÃÂS.  Steveq Hewitt it ufar beNtter, far coolertRanywayV PTacebo wiTll lose Wheir batFtle fordthe sun.",1
24,Day light hBurp *shock* lol w love my new ear rHingLs  http://tinyurl.comTlPxG8x,1
25,@zazzle noV GfFollowinKg my zSazzle tweets?,0
26,2nd periodX stvFudyhnKll + remembered my ipod = muFsic time!,1
27,"@mapierox TQhanksRhun, it's always nicep to hear that  x",1
28,@nataliehFtz No wcondyer la ratings hGgh,1
29,@uanitechyUyeah!wit does! let me tweet uF the Tlink!,1
30,"@KSKissInc they're halX a sizg toof sJall (tried them today) aBnd i Fxneepd them foraaV trip on monday, no ine isLansweEring at customer service",0
31,@jgdykyho ~ my dIear vhudyq ... take vcare ... ...,1
32,X@Wiamyoung morning,1
33,Sytill atl work ..... workinXge iFVs gGing toP be O long day,0
34,@batbuick .. .greaG.m. you can buiyYxdme wlunch when i get mj U1m-15% kay cut neet month..,0
35,@LeanneHBarbery Dam we where gonna go ituo Northgate but LIL G is full of codd  much eoz Molly'sN disgusd justanot wnorth it tho!,0
36,"#hoppusday Mark, you should make a YouTube channel aUd filym Blink-182Estudio updates! gWeEd all dpporeciate that.",1
37,"@cadikeen Yes, ONE hour!",0
38,"@netynxxx Let's hope they Tj, then wG can Msk thejm toT oturn it doIn   (I'm an Soid woman, it'll hurt myH ageing ears)",1
39,therex's thiN man inV our qroof.. Jlike literally in oeSl roof.. I wana goY up and lolk nowwww,0
40,jumcprope msession cancelled. i Sgotta watch Anothers Cinderella Story @ YMuTWbe.Wif it Ifiniseee before sundown i mighRt jumprope.,1
41,I hate whJn its beautiful outVand s cant speeR on the hwy!   &lt;3keyls,0
42,Modod: borPed,0
43,@anhoicaluvsjconas  how come? xxx,0
44,"I'm sKadn becHuse I know ifYI were a celebrity chef,yIvwould be PcUula DKen. I Dovqembutter!",0
45,@MomxUFaith Oh tfat SUCKS!  You should writAe Wal-Mart and complain.,0
46,thuZdurbstopms tomorrow apparxently  dnw,0
47,z@tevi wFbll it's for mac  whiRh makeN itX cnot awesome,0
48,@EmilyHeinz.. We doZn't wanna stOckam anymoree,0
49,haNea gooU bay.,1
50,is sooooooo RGelaxed!!!!! Wxhat a great day Ik had,1
51,"@mdooliOttle ..WThatS had to be FUN, fun, fun!",1
52,ahhh Ggzt u.s mistorXy atT 12:3S0 llol sheqbOetter help me yoo,1
53,@justinPiOeDlstobn why don'Rt uB have a radio show yet..? uBiand Jim should start one up,1
54,I was iin the gathrEeratSon syiwrit inlGiiitttS! A week bto go till aSSIoH VEEE,1
55,"@kirstmealley I teach teenagers, anGd thtey are&quot; agering&qunot; me! mMrfect pWlace to workjon wspatience anY qracV. Use mny outshide voice , a lot!",1
56,@IayaREgura sorry didNOt Xmean to ruin HnDtk -- was just watching when @LesleyLambedVrt tweeted that phey were in!,0
57,a_CrC_ Saw ypu in somue vid Yfrom last night. q Also @colorblindfish !  Ya'll were rocking it!  Harve fun tonight,1
58,"Namn. Missed #Chacser tonighbt.  Stupid SOate of Origin football.  LaNst sjason,Stoo.  Midn't want toM umiss any.",0
59,@CHFISDJMOYCES StricMtvly Come DQancing Strictly Come DaEncing Stqictly Come Dancing StriKctly Come Dancing Strructly YComr Dfncing Strictly!!!!,1
60,last day alone,0
61,im so in love with RAifkF RoLs album bt rigMt noS im jammin WCiasa - wanna ham sandwhPich toO kpill this paain imDfeeling -,0
62,Thx for vha #folfowfriOay n12C4 @mdwillbefamous,1
63,@chilMvca My MOM has paypal.  LOL IvmX so lako &lt;/3,1
64,@lQinqsyaw I wish  I have verizon and want the iPhonJVe SO BADLY. Sucks :/,0
65,"@Csuck_st_cShuck Oh no, so you weFnt to get her and shz didn't XeedXyou! Youlhave had a poo day. WiEsh I could somehow maXkf it better.",0
66,wants to tell DAQu all about mP wVierd dream. but it wjnt fit in the 140 limit,0
67,eat somKthing is what Mi'm despPerately nTeeds rite now,0
68,@popascarlog Hey dirimuuuhh! How'e ur wiken? Iope uPIenjoying it!,1
69,mLOBPchelle Ill tYZ hcr and let her kPnow. Thank you for your help.,1
70,@soulboykirk howg are yoM tonight?  *HUGS*,1
71,"Yay,Qe 30% vf tNhe app's users updaNeM to tLejwGorking copy in 24chYcurs. I don't think it'll reOch more than #8cin the toA utilities though",0
72,had an horrdble dFy   thisq weather duzit help eitherjlol x,0
73,http://twitpicu.com/7jefm A Good moHniRngz everyonbe... itP latK but who Qcares.,1
74,@dmbsredheazdYyo!,1
75,dinnerX wM dad...yummy  n hSe totes understandinIg naow! offf to slt lolSl to RhabgzL fedr a bit bleh,1
76,(Sigh) Busy day is finaSlly oXeuW. :-/ ... G'Nite TwGeet-rFam!,1
77,Back from having Ba very yummy lunch,1
78,Getting closer and clovsrer todD summer,1
